Head_gene_symbol	Head_gene_breakpoint	Tail_gene_symbol	Tail_gene_breakpoint
C12orf65	123741938	PPM1K	89182993
CCDC7	32832228	C10orf68	32873232
CD99P1	2494682	CD99	2632462
IGLV2-14	23101698	IGLL5	23235960
FLJ39739	147931979	BC065231	145004780
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
HLA-C	31237743	HLA-B	31322442
KLK3	51363563	ABCF3	183909005
LOC100286793	143744586	BC065231	145004780
LOC348840	197794365	ANKRD18A	38607423
LOC644961	27652880	ACTG1	79477135
LPP	188601260	PLEKHA2	38829215
MALAT1	65267225	PDSS2	107475637
NDUFA3	54610118	PNMA2	26363247
NPIP	15044112	PDXDC2P	70011486
NSUN7	40778276	ARL4A	12728316
OPA3	46052041	ICK	52866159
PMP22	15133889	FAM119A	208476755
SEPT7P2	45808616	CO9	55840871
TPTE2P2	52831838	ASTN2	119375406
ZNF620	40558758	LPP	188601244
ZNF664	124488087	FAM120AOS	96209979
ADSL	40762502	SGSM3	40796700
AZGP1	99569369	GJC3	99521226
BC110832,LOC728855	149576699	BC065231	145004780
BC110832,LOC728855	149576699	BX647792	145013718
BCL8	20876442	ZNF321	53431532
CD99P1	2544683	CD99	2632463
CEACAM20	45029277	CEACAM22P	45042371
CEACAM20	45005765	ZNF180	45001429
CEACAM22P	45042364	CEACAM20	45029277
COL24A1	86282469	ESRRG	217236201
IGLV2-14	23101695	IGLL5	23235960
RP11-155G15.2	96537669	CHD1	98262036
FLJ39739	147931979	BC065231	145004780
FLJ39739	147931979	BX647792	145013718
FRG1B	29614261	LOC100132352	68726979
GALNT7	174169590	RP11-161D15.1	174850375
GDEP	80748756	ANTXR2	80925176
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
GPR37L1	202098158	FAM120AOS	96212761
HLA-C	31239125	HLA-B	31324465
HMGN2P46	45808090	ASB6	132398811
IFLTD1	25650607	BCL8	20874966
JA040723	14148	HNRNPA3	178082432
KCTD1	24081214	LOC728606	24283356
LDLRAP1	25894479	C22orf45	24825667
LOC100286793	143744586	BC065231	145004780
LOC100286793	143744586	BX647792	145013718
LOC440905	130808341	C2orf14	131438368
LOC644961	27652880	ACTG1	79477135
LOC728875	144521008	BC065231	145004780
LOC728875	144521008	BX647792	145013718
LOC728875,LOC728855	144340772	BC065231	145004780
MGC2752	59097722	RPL23AP82	51227177
NCRNA00201	245007958	LOC493754	66025587
NDUFA3	54610118	PNMA2	26363247
NPIP	15044112	PDXDC2P	70011486
OCLN	68830521	NAIP	70275696
PMS2P3	75145043	PRKRIP1	102038067
RPL41	56510430	FASN	80043187
RPL41	56510430	RBFOX2	36236239
SLC30A4	45803336	ING5	242666774
TMEM79	156261194	LOC729609	20005109
TP53RK	45313035	SLC13A3	45242364
VPS13C	62157800	IL6ST	55235969
ZNF664	124488087	FAM120AOS	96209979
AZGP1	99569369	GJC3	99521226
BC110832,LOC728855	149576699	BC065231	145004780
BC110832,LOC728855	149576699	BX647792	145013718
CCDC7	32832228	C10orf68	32873232
FAR2	29449954	LOC440905	130785882
FLJ39739	147931979	BC065231	145004780
FLJ39739	147931979	BX647792	145013718
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
HLA-C	31237762	HLA-B	31322904
ICMT	6283466	UHMK1	162497060
LOC100286793	143744586	BC065231	145004780
LOC100286793	143744586	BX647792	145013718
LOC644961	27652880	ACTG1	79477135
LOC728875	144521008	BC065231	145004780
LOC728875,LOC728855	144340772	BC065231	145004780
MSMB	51555731	HLA-F	29694781
NACA	57108406	NACAP1	102381272
NCRNA00115	762864	FBXO25	381341
NPIP	15044112	PDXDC2P	70011486
PFDN5	53691634	FAM122C	133943338
PHF17	129752964	SNHG8	119200543
PHF17	129752965	SNHG8	119200545
PMP22	15133889	FAM119A	208476755
SNHG8	119200544	PHF17	129752965
SNHG8	119200543	PHF17	129752964
ZNF620	40558758	LPP	188601244
ACTA2	90707015	LPAL2	160887896
AZGP1	99569369	GJC3	99521226
BCL8	20874959	UBAP1	34220912
CCDC7	32832228	C10orf68	32873232
CDRT4	15343599	FAM18B2	15406412
CTBS	85028940	GNG5	84967653
FRG1B	29614261	LOC100132352	68726979
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
KLK3	51364020	PDLIM5	95586633
LOC644961	27652880	ACTG1	79477135
NDUFA3	54610118	PNMA2	26363247
NPIP	15044112	PDXDC2P	70011486
NR4A1	52438752	TMPRSS2	42848503
PMP22	15133889	FAM119A	208476755
RPL41	56510430	RBFOX2	36236239
TTTY15	14798535	USP9Y	14821321
ZNF620	40558758	LPP	188601244
AD_1	10404	CELF2	11206992
AD_1	10404	FGD4	32760871
ANKHD1,ANKHD1-EIF4EBP3	139903727	CREB5	28861121
AZGP1	99569369	GJC3	99521226
BC110832,LOC728855	149576699	BX647792	145013718
DIP2A	47988174	LPP	188601260
ENSG00000213988	20235914	RPS16	39924320
FLJ39739	147931979	BX647792	145013718
FRG1B	29614261	LOC100132352	68726979
GDEP	80748756	ANTXR2	80925176
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
HLA-C	31239407	HLA-B	31324495
HMGN2P46	45808090	NUDT19	33204252
IFLTD1	25650607	BCL8	20874966
KLK3	51364020	KLHL36	84700520
LDLRAP1	25894479	C22orf45	24825667
LOC100286793	143744586	BX647792	145013718
LOC644961	27652880	ACTG1	79477135
LOC728875	144521008	BX647792	145013718
MTATP6P1	569754	RDH11	68144104
NPAS3	34271081	ZFP36	39899584
NPIP	15044112	PDXDC2P	70011486
PMS2P3	75145043	PRKRIP1	102038067
SIDT2	117066631	TAGLN	117073718
TMEM231	75572027	ACPP	132076921
TPTE2P2	52831838	ASTN2	119375406
VPS45	150082742	PLEKHO1	150123102
WHAMML1	23196162	WHAMM	83491852
ZNF620	40558758	LPP	188601244
AD_1	10404	SECISBP2L	49280834
ARRB2	4615738	ANO7	242155638
AZGP1	99569369	GJC3	99521226
BC110832,LOC728855	149576699	BC065231	145004780
DIP2A	47988174	LPP	188601260
MEMO1P1	37503339	CBR3-AS1	37504967
FLJ39739	147931979	BC065231	145004780
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
GPR37L1	202098158	FAM120AOS	96212761
HMGN2P46	45808090	NUDT19	33204249
LOC100286793	143744586	BC065231	145004780
LOC644961	27652880	ACTG1	79477135
LOC728875,LOC728855	144340772	BC065231	145004780
MGC2752	59097722	RPL23AP82	51227177
MRPS22	139075785	COPB2	139075970
MYH7B	33590215	TRPC4AP	33590243
NDUFA3	54610118	PNMA2	26363247
NPIP	15044112	PDXDC2P	70011486
RPL23AP7	114379738	IL9R	155235144
SCNN1A	6457893	TNFRSF1A	6443410
SEPT7P2	45808616	CO9	55840871
SPAG5-AS1	26944302	KIAA0100	26945806
AD_1	10404	ELL2	95220801
CDC16	115007596	UPF3A	115057267
CDC16	115007595	UPF3A	115057254
cytochrome_b	15887	MKLN1	131130532
ACTA2-AS1	90694826	ACTA2	90694848
FAM41C	803913	FLJ43681	81177663
FAR2	29449954	LOC440905	130785882
GJC3	99521226	AZGP1	99569369
HLA-C	31237743	HLA-B	31322442
HMGN2P46	45808090	NUDT19	33204249
HSD17B12	43877445	LOC100272146	45502552
KLK2	51382482	DPP6	154685154
LOC644961	27652880	ACTG1	79477135
MTATP6P1	569756	PDLIM5	95586638
NPAS3	34271081	ZFP36	39899584
NPIP	15044112	PDXDC2P	70011486
PMP22	15133889	FAM119A	208476755
RPL13	89629444	KLK3	51363502
SEPT7P2	45808616	CO9	55840871
SUGT1	53237247	NOL6	33472410
UPF3A	115057266	CDC16	115007595
VPS13C	62157800	IL6ST	55235971
ANKHD1,ANKHD1-EIF4EBP3	139903727	CREB5	28861121
AZGP1	99569369	GJC3	99521226
FAR2	29449954	LOC440905	130785882
FRG1B	29614261	LOC100132352	68726979
HLA-C	31237743	HLA-B	31322442
IFLTD1	25650607	BCL8	20874966
LDLRAP1	25894479	C22orf45	24825667
LOC348840	197794365	ANKRD18A	38607423
LOC440905	130808341	C2orf14	131438368
LOC644961	27652880	ACTG1	79477135
MSMB	51555731	HLA-F	29694781
NAIP	70282272	OCLN	68830520
NCRNA00115	762864	FBXO25	381341
NCRNA00201	245007958	LOC493754	66025587
NPIP	15044112	PDXDC2P	70011486
OCLN	68830521	NAIP	70275696
PMP22	15133889	FAM119A	208476755
PMS2P3	75145043	PRKRIP1	102038067
SPINT2	38781215	C19orf33	38795015
TPTE2P2	52831751	ASTN2	119375319
TTTY15	14798535	USP9Y	14813939
VPS45	150082742	PLEKHO1	150123102
AD_1	10404	AK024535	40465341
ANKHD1,ANKHD1-EIF4EBP3	139903727	CREB5	28861121
AZGP1	99569369	GJC3	99521226
C12orf65	123741938	PPM1K	89182993
FAR2	29449954	LOC440905	130785882
GJC3	99521226	AZGP1	99569369
HLA-C	31237762	HLA-B	31322904
LDLRAP1	25894479	C22orf45	24825667
LOC440905	130808341	C2orf14	131438368
LOC644961	27652880	ACTG1	79477135
MIR4461	134263741	MTATP8P1	569024
MSMB	51555731	HLA-F	29694781
NPIP	15044112	PDXDC2P	70011486
RPL18	49119997	KLK2	51382405
RPL36	5691668	KHDRBS3	136659481
TPRKB	73961556	PARP14	122448308
TTTY15	14798535	USP9Y	14813939
AZGP1	99569369	GJC3	99521226
CIR1	175216453	ABCG1	43636298
CTBS	85028940	GNG5	84967653
ERG	39817544	TMPRSS2	42880008
GJC3	99521226	AZGP1	99569369
GNG5	84967653	CTBS	85028940
HMGN2P46	45808090	NUDT19	33204249
LOC644961	27652880	ACTG1	79477135
MALAT1	65267225	PDSS2	107475637
MSMB	51555731	HLA-F	29694781
NPIP	15044112	PDXDC2P	70011486
VPS13C	62157800	IL6ST	55235969
TMPRSS2	42880084	ERG	39751949
HMGN2P46	45803402	C6orf52	10671650
TMPRSS2	42880084	ERG	39751949
KDM5A	498619	GPD2	157413900
AZGP1	99569369	GJC3	99521226
BC045790	138374623	ATP2C2	84479934
C12orf77	25150372	FPGS	130566777
CAPN8	223853435	USP32P1	16687736
CHD2	93543869	FKBP1AP1	58336666
COL1A1	48278999	FGD1	54471886
COL1A1	48278999	RP1	55632688
DGAT1	145550566	FKBP1AP1	58336666
DGCR2	19109966	ZFAND3	38084347
DHX34	47883241	CAPN8	223714971
EIF4E3	71774525	HELZ	65066553
EXOSC10	11159937	PITPNM2	123468026
FOXO4	70323383	OR1F1	3254246
KLHDC9	161068851	GPI	34856138
LINC00085	52206350	SEMA5B	122628042
NFYA	41057448	FKBP1AP1	58336666
NR4A1	52451313	MAPT	44095983
PIWIL1	130831128	LPHN1	14258548
PRKCG	54393002	DENND2C	115064016
PRKCG	54393002	TP73	3645890
SYCN	39694905	AK295707	20318817
SYCN	39694905	USP32P1	16690261
ZFP161	5296193	NEURL4	7218950
DESI1	42016756	NHP2L1	42078591
JMJD8	734066	UBE2I	1374731
JMJD8	734065	UBE2I	1374730
MCMBP	121633132	FER1L5	97327951
MTND2P28	565872	LAMC2	183212535
SLFN5	33592444	SLFN11	33679931
ANKK1	113265801	UBR3	170684017
MFAP3	153569748	GALNT10	153674375
MKL1	40859437	RNF213	78327311
SLC25A21	37180688	FAM81B	94776191
PTRF	40557327	MT-ND3	10290
SLC25A21	37180688	FAM81B	94776191
SLC25A21	37180688	FAM81B	94776191
CCDC144NL	20771218	NBEAP1	20876597
MKL1	40859437	RNF213	78327311
NGFR	47584019	DMBT1	124325482
TP53RK	45313034	SLC13A3	45242363
COPS2	49398398	SECISBP2L	49329966
HMCN1	186047351	AX748230	180649868
LOC100129620	99609685	ITIH5	7613367
MKL1	40859437	HLA-J	29974216
MKL1	40859437	RNF213	78327311
MX1	42813840	RNF213	78326739
TCF3	1615716	JAK2	5112400
TRA2B	185637225	EHHADH	184966305
TTC6	38065213	MIPOL1	38016110
TTTY15	14798535	USP9Y	14813939
WRAP53	7593018	DIP2A	47918494
ZFP37	115818995	PIWIL1	130830914
ANAPC13	134201648	VIT	36956569
EEF2	3979327	SLC25A42	19218703
FOXP1	71090479	RYBP	72428578
GTF2IRD1	73973985	GTF2I	74119498
NUP210	13461808	C5orf32	139661081
POR	75615166	COPS7B	232672196
SMAGP	51663029	TFCP2	51493562
UQCR10	30165833	ENSG00000237528	51666784
TP53RK	45313034	SLC13A3	45298777
CTBS	85028940	GNG5	84967653
ABTB2	34379554	LINC00085	52206206
ANKS3	4784162	SEMA5B	122628042
ANTXR1	69476302	ZFP36L1	69255506
ASGR1	7082882	FAM102A	130702860
ASGR1	7082882	OR4D2	56247016
CREBBP	3930120	SPTB	65213000
CTBS	85028940	GNG5	84967653
FUBP1	78425869	ETV1	13978871
GPR107	132842048	ATRAID	27436045
HLA-DRA	32412811	PDLIM5	95586479
KCNS3	18351774	PPM1G	27610025
KIF17	21011680	TEX101	43910374
LINC00085	52206350	SEMA5B	122628042
MCMBP	121633132	FER1L5	97329175
MCMBP	121633132	PSMC5	61904769
MICAL2	12160010	FER1L5	97334487
MICAL2	12160006	PSMC5	61904769
MIR320A	22102555	C6orf195	2623672
MIR320A	22102555	GLG1	74481325
MIR320A	22102555	GRIN2D	48901623
MIR320A	22102555	MAP2K5	67835020
MYBBP1A	4458680	CCDC101	28592375
NSUN4	46827368	FAAH	46867763
PDE4D	59189620	ODZ1	123509755
PPM1G	27632170	SLC30A3	27480220
RAB3IP	70132810	CCDC101	28592375
RAB3IP	70132810	SEMA5B	122628042
RPLP2	812865	ETV1	13933977
SEMA5B	122747451	FAM174B	93160678
SETDB1	150898992	SPTB	65213000
SPATS2L	201343251	VCL	75879658
SPRY3	154997773	TPM1	63363447
TP53RK	45313034	SLC13A3	45298777
USP13	179439377	PEX5L-AS1	179598676
ZFAND3	37787791	OR4D2	56247016
AZGP1	99569369	GJC3	99521226
BC042876	163654481	JA040725	7586
C15orf52	40632838	TCTEX1D1	67241196
CD99	2588464	PDIK1L	26437655
COX6B2	55865906	PDIK1L	26437655
CREBBP	3930120	SPTB	65213000
CWC25	36971993	PKHD1	51480144
cytochrome_b	15887	MARK2	63606399
DLEC1	38139127	MRPS15	36921361
DNAH6	84932870	BC018860	5901
DNAJB12	74114906	TTLL1	43435522
ERG	39956868	TMPRSS2	42880007
IKBKE	206646656	RPE65	68894506
LINC00085	52206350	SEMA5B	122628042
LOC100287616	74220300	RPE65	68894506
MCMBP	121633132	FER1L5	97327951
MCMBP	121633132	PSMC5	61904769
MICAL2	12160006	PSMC5	61904769
MIR320A	22102555	C6orf195	2623672
MTATP6P1	569323	MTATP8P2	88124564
PEMT	17480234	SLC35B1	47783258
PTEN	89653866	PACS1	65960958
RAB3IP	70132810	SEMA5B	122628042
RNF165	43946955	SSR1	7296527
SMARCA1	128657459	MAGEA4	151085396
SMARCA5	144468655	MAGEA4	151085396
SNX12	70288230	FAM208B	5799482
SNX12	70288230	MAGEA4	151091924
SNX12	70288230	MBOAT4	29989186
SNX12	70288230	PYROXD1	21590537
SNX12	70288230	SYCP3	102122425
SYCP3	102133249	BARX2	129306645
SYCP3	102133249	NAAA	76831807
TMPRSS2	42880008	ERG	39956869
TTTY15	14798535	USP9Y	14813939
USP15	62778082	PDIK1L	26437655
AKAP11	42877998	ANKRD33	52282854
ANKS3	4784162	SEMA5B	122628042
ASGR1	7080394	FAM102A	130702860
AZGP1	99569368	GJC3	99527243
BOK	242509702	SYN1	47431299
C15orf52	40632838	DOT1L	2211097
C15orf52	40632838	TCTEX1D1	67241196
CD99	2641404	PEA15	160181332
CHKA	67888857	KIAA0196	126036502
CIRBP	1274439	C19orf24	1277184
CIRBP	1274439	C19ORF24	1277184
COX6B2	55865906	PDIK1L	26437655
COX6B2	55865906	PEA15	160181332
COX6B2	55865906	ZNF746	149169883
CREBBP	3930120	SPTB	65213000
CWC25	36971993	PKHD1	51480144
DNAH6	84932870	BC018860	5901
DNAJB12	74114906	TTLL1	43435522
ERG	39964723	TMPRSS2	42871728
IKBKE	206646656	RPE65	68894506
LINC00085	52206350	SEMA5B	122628042
LOC100287616	74220300	RPE65	68894506
MCMBP	121633132	FER1L5	97327951
MCMBP	121633132	PSMC5	61904769
MICAL2	12160010	FER1L5	97334487
MICAL2	12160006	PSMC5	61904769
MIR320A	22102555	C6orf195	2623672
MTATP6P1	569341	MTATP8P2	88124599
OK/SW-cl.16	9207	HERC6	89306650
PDE4D	59189620	ODZ1	123509755
PEMT	17480234	SLC35B1	47783258
PTEN	89653866	PACS1	65960957
RAB3IP	70132810	CCDC101	28592375
RAB3IP	70132810	SEMA5B	122628042
RNF165	43946955	SSR1	7296527
RPL30	99053952	NCAM1	113148554
SETDB1	150898992	SPTB	65213000
SMARCA1	128657459	MAGEA4	151085396
SMARCA1	128657459	PYROXD1	21590537
SMARCA5	144468655	MAGEA4	151085396
SMARCA5	144469292	PYROXD1	21590537
SNORA77	203698832	KIAA0556	27788248
SNX12	70288230	CBLN2	70203914
SNX12	70288230	FAM208B	5799482
SNX12	70288230	MAGEA4	151091924
SNX12	70288230	MBOAT4	29989186
SNX12	70288230	PYROXD1	21590537
SNX12	70288230	SYCP3	102122425
SYCP3	102133249	BARX2	129306645
SYCP3	102133249	NAAA	76831807
TMPRSS2	42880008	ERG	39956869
TTTY15	14776617	USP9Y	14821321
USP15	62778082	PDIK1L	26437655
USP15	62783293	SDHAP3	1568636
ADSL	40762502	SGSM3	40796700
AZGP1	99569369	GJC3	99521226
CCDC144NL	20771214	NBEA	35683427
CCDC144NL	20771214	NBEAP1	20876597
HACL1	15604865	COLQ	15531144
MGAT4B	179228962	SQSTM1	179233669
NCAPD3	134093805	VPS26B	134095174
PEMT	17480234	SLC35B1	47783258
PTEN	89653866	PACS1	65960958
RPLP2	809983	RP11-832N8.1	107779251
SEMA5B	122746575	BAZ2A	56989379
SLC45A3	205628617	ELK4	205593019
TMEM115	50395851	TMEM115	50396951
TMPRSS2	42878372	ERG	40033583
TP53RK	45313034	SLC13A3	45298777
TTTY15	14798535	USP9Y	14813939
UBE3C	156990755	UBXN2B	59347506
AK090788	165235541	AMBP	116822407
AK090788	165235541	SAFB	5667830
AK097787	37750878	MPG	133050
AP2A1	50285980	AK127919	78940038
ASGR1	7082882	OR4D2	56247016
ATP6V0C	2569220	ATP6V0CP3	42695246
BAIAP2	79010760	MFN2	12065767
C12orf24	110924521	CYTH4	37708060
C8orf59	86132642	NEK6	127020195
CD99	2641404	PEA15	160181332
CD99	2640714	SLIT1	98757794
CD99	2590714	ZNF746	149169883
COX6B2	55865906	PDIK1L	26437655
COX6B2	55865906	PEA15	160181332
COX6B2	55865906	SLIT1	98757794
COX6B2	55865906	ZNF746	149169883
CSMD3	113702278	MYOM3	24382530
CTBS	85028940	GNG5	84967653
EEF2	3981413	hsa-mir-6723	567135
FHAD1	15653637	MFN2	12065767
FMN2	240497528	CLN6	68499329
FMN2	240555861	DUSP9	152907896
FMN2	240555861	TMEM132B	126136986
FMN2	240555861	TOP3B	22311402
HSD17B3	99064433	SLIT1	98757794
IKBKE	206646656	DYRK1B	40315989
ISYNA1	18548118	MFN2	12065767
KCNH4	40333295	MYOM3	24382530
LEPRE1	43232754	AX747124	2147222
LEPRE1	43232754	PRRC2C	171454665
LOC100287616	74220300	CACNA2D1	81579417
LOC339290	5238524	CRLF1	18704034
MASP1	187009809	TRIP4	64686144
MASP1	187009809	WDR59	74907470
MICAL2	12160006	PSMC5	61904769
MIPOL1	37969343	DGKB	14188863
MIPOL1	37969342	DGKB	14188862
NIPAL4	156887364	LOC338799	122233172
NXF1	62572963	CDKL2	76501703
PHKA2	19002479	NOP56	2633487
PPP2R2A,DOCK5	25246747	MFN2	12065767
RAC2	37640304	MYOM3	24382530
RERE	8482787	PIK3CD	9770482
SAFB	5668488	MYOM3	24382530
SAFB	5668488	NOMO1	14968892
SAFB	5668488	NOMO2	18511181
SAFB	5668488	NOMO3	16367545
SMARCA1	128657459	C11orf58	16760147
SNX12	70288230	C11orf58	16760147
SNX12	70288230	KIAA1324	109730798
SNX12	70288230	MAGEA4	151091924
SNX12	70288230	TRIP4	64687596
SNX12	70288230	WDR59	74907470
SPNS1	28986420	MYOM3	24382530
SPNS1	28986420	NOMO1	14965477
SPNS1	28986420	NOMO2	18511181
SPNS1	28986420	NOMO3	16363977
SSX3	48216141	PEA15	160181332
SSX3	48216141	SDHAP3	1568636
SSX3	48216141	SLIT1	98757794
SSX3	48216141	ZNF746	149169883
SZT2	43896459	PRRC2C	171454665
TRNA_Glu	161582578	LRRC26	140063211
TTTY15	14798535	USP9Y	14813939
USP15	62778082	PDIK1L	26437655
USP15	62783293	PEA15	160181332
USP15	62783293	SDHAP3	1568636
USP15	62778082	SLIT1	98757794
ZNF219	21566807	LRRC26	140063211
ABTB2	34379554	LINC00085	52206206
ANKS3	4784162	SEMA5B	122628042
ANTXR1	69476302	ZFP36L1	69255506
ASGR1	7082882	FAM102A	130702860
CREBBP	3930120	SPTB	65213000
CTBS	85028940	GNG5	84967653
DNAH6	84932870	BC018860	5901
FUBP1	78425869	ETV1	13978871
GPR107	132842048	ATRAID	27436045
KCNS3	18351774	PPM1G	27610025
LINC00085	52206350	SEMA5B	122628042
LOC96610	22677321	IGLL5	23235960
MCMBP	121633132	FER1L5	97329175
MCMBP	121633132	PSMC5	61904769
MICAL2	12160010	FER1L5	97334487
MICAL2	12160006	PSMC5	61904769
MIR320A	22102555	C6orf195	2623672
MIR320A	22102555	GLG1	74481325
MIR320A	22102555	GRIN2D	48901623
MIR320A	22102555	MAP2K5	67835020
PDE4D	59189620	ODZ1	123509755
PPM1G	27632170	SLC30A3	27480220
RAB3IP	70132810	CCDC101	28592375
RAB3IP	70132810	SEMA5B	122628042
RPL30	99054007	NCAM1	113148434
RTEL1-TNFRSF6B	62321185	ALPK1	113280247
SEMA5B	122747451	FAM174B	93160678
SETDB1	150898992	SPTB	65213000
USP13	179439377	PEX5L-AS1	179598676
WRB	40763762	SH3BGR	40834301
ZFAND3	37787791	OR4D2	56247016
AK090788	165235541	SAFB	5667830
AK090788	165235541	TSC22D2	150126787
AP2A1	50285980	AK127919	78940038
ASGR1	7082882	OR4D2	56247016
CD99	2588464	PDIK1L	26437655
CD99	2641404	PEA15	160181332
CD99	2591404	SDHAP3	1568636
CD99	2640714	SLIT1	98757794
COX6B2	55865906	PDIK1L	26437655
COX6B2	55865906	ZNF746	149169883
CTBS	85028940	GNG5	84967653
FHAD1	15653637	MFN2	12065767
FMN2	240497528	CLN6	68499329
FMN2	240555861	DUSP9	152907896
FMN2	240555861	TMEM132B	126136986
FMN2	240555861	TOP3B	22311402
LAMP1	113951809	ZFPM1	88598409
LEPRE1	43232754	PRRC2C	171454665
LOC100287616	74220300	CACNA2D1	81579417
LOC100287616	74220300	PPP1R13B	104200087
LOC100287616	74220300	SFXN4	120900424
LOC100287616	74220300	TBC1D8	101623689
LRWD1	102110328	CRLF1	18704034
MASP1	187009809	C11orf58	16760147
METTL23	74729458	GEN1	17961244
MIPOL1	37969343	DGKB	14188863
MTATP6P1	569448	MTATP8P2	88124467
PHKA2	19002479	NOP56	2633487
PPP2R2A,DOCK5	25246747	MFN2	12065767
RAC2	37640304	MYOM3	24382530
SAFB	5668488	NOMO1	14968892
SAFB	5668488	NOMO2	18511181
SAFB	5668488	NOMO3	16367545
SLIT1	98945682	TMEM204	1583934
SMARCA1	128657459	C11orf58	16760147
SMARCA1	128657459	TRIP4	64686144
SMARCA5	144468655	C11orf58	16760147
SMARCA5	144468655	TRIP4	64686144
SNX12	70288230	C11orf58	16760147
SNX12	70288230	KIAA1324	109730798
SNX12	70288230	TRIP4	64687596
SNX12	70288230	WDR59	74907470
SPNS1	28986420	NOMO1	14965477
SPNS1	28986420	NOMO2	18511181
SPNS1	28986420	NOMO3	16363977
SSX3	48216141	PEA15	160181332
SSX3	48216141	SDHAP3	1568636
SSX3	48216141	SLIT1	98757794
SSX3	48216141	TIMM44	7991602
SSX3	48216141	ZNF746	149169883
SZT2	43896459	PRRC2C	171454665
TCL1B	96158979	SAFB	5667830
TRNA_Glu	161582578	LRRC26	140063211
TTTY15	14802370	USP9Y	14813939
USP15	62778082	PDIK1L	26437655
USP15	62783293	PEA15	160181332
USP15	62783293	SDHAP3	1568636
USP15	62778082	SLIT1	98757794
ZNF219	21566807	LRRC26	140063211
ACAD8	134133627	GLB1L3	134145080
ACPP	132076952	SCARB2	77080616
ACTA2	90707015	LPAL2	160887896
AD_1	10404	COL3A1	189876353
ADCK4	41197496	NUMBL	41192900
ADSL	40762502	SGSM3	40796700
ADSL	40762503	SGSM3	40796701
ANG	21161809	RNASE4	21167514
ANXA4	70037547	ABL1	133637875
ANXA4	70037726	DENND1A	126319849
ANXA4	70037725	DENND1A	126319848
ARHGAP27	43483449	SH3D20	43506989
ARIH2	48964900	C3orf27	128293142
ASXL2	26101311	FLJ30838	59151679
ASXL2	26068349	FLJ30838	59142814
ATP1B2	7559995	RARS2	88224146
ATXN3	92526594	CSGALNACT1	19262118
AUH	93983273	RP11-435O5.2	98185382
BAD	64051833	GPR137	64052199
BC110832,LOC728855	149576699	BX647792	145013718
BOK-AS1	242498159	BOK	242501770
BRE	28268666	TMEM55A	92008972
BRE	28268666	TMEM55A	92008972
BRE	28268665	TMEM55A	92008971
C16orf61	81010076	FANCD2	10143212
C16orf96	4613211	SUB1	32585678
C19orf48	51302598	SNORD88C	51305658
C2orf28	27436045	GPR107	132842048
CALU	128411528	MSMB	51555750
CASP2	143003655	RPL30	99053962
CCDC53	102439897	ADIPOQ	186575903
CCDC7	32832228	C10orf68	32873232
CCDC7	32832227	C10orf68	32873231
CD93	23066811	RPL14	40503538
CEBPZ	37428867	NAIF1	130824295
CIRBP	1274439	C19orf24	1277184
CIRBP	1274439	C19ORF24	1277184
CMPK1	47844501	NDUFV2	9122661
COA4	73584425	PAAF1	73587903
CRIP2	105945830	CRIP1	105954503
CTBS	85028940	GNG5	84967653
CTNNA3	69434544	ARL3	104445572
CXCL16	4637321	IPCEF1	154476750
cytochrome_b	15887	RNF213	78237372
DAZAP2	51632611	DAZAP2P1	203066605
DENND1A	126692416	ANXA4	70039784
DENND1A	126319849	ANXA4	70043233
DNAJC12	69583150	SYNPO2	119979932
DSTN	17588643	RAB3B	52374765
DTNB	25851040	SIX3-AS1	45167972
DTNB	25611230	SPTLC1	94871022
EEF1A1	74230754	CHD1L	146767111
EEF1A1	74229762	RPS20	56986261
EIF2AK2	37375594	ENSG00000244833	81847289
EML4	42472826	ENSG00000239235	54263702
ENO1	8923386	EDARADD	236647547
ENO1	8938788	EDARADD	236646443
EIF2B5	183867998	CAGE1	7339311
DCUN1D2	114145055	TMCO3	114145523
CCDC78	776557	HAGHL	777974
ENSG00000169894	100607770	MUC12	100613251
IGLV1-44	22735711	IGLL5	23235959
IGLV1-40	22764609	IGLL5	23235959
IGLV1-36	22786798	IGLL5	23235959
ENSG00000212127	11199786	LOC100129361	11323865
ENSG00000213988	20235869	RPS16	39926591
RP5-1121H13.4	40626871	NEFH	29881715
RP11-57C13.6	89382236	CNNM2	104679857
RP5-842K24.2	131373738	MBNL3	131563840
AC019118.2	3065091	C5	123719562
RP11-634B7.4	247803730	TRIM58	248023918
ENSG00000236696	79989079	RAC3	79990586
ERAP2	96253660	VPS41	38764198
ERI2	20814992	ZNF737	20721147
EXOC6B	72411316	RALGPS1	129740024
EXOC6B	72411315	RALGPS1	129740023
FAM177A1	35515830	LOC100287042	73269863
FAM49A	16740617	SOS1	39247545
FAM60A	31435389	HNRPLL	38795341
FARSB	223507724	TRIM61	165890630
FLCN	17115931	HNRPLL	38795341
FLJ39739	147931979	BC065231	145004780
FLJ39739	147931979	BX647792	145013718
FOXN2	48571721	SPRED2	65641416
FOXRED2	36886235	TXN2	36876884
